ID,name,count,CoCh,HoRatio,InchoRatio,PerTra,InPerTra
300511,雪榕生物,1,-1,2.23,1.70,2.25,1.62
301071,力量钻石,1,-6,0.72,-1.24,2.14,-5.69
600796,钱江生化,1,0,0.27,0.10,0.77,0.29
600309,万华化学,1,0,0.60,0.09,0.60,0.09
300955,嘉亨家化,1,0,1.23,0.00,2.75,0.00
300762,上海瀚讯,1,-1,1.71,-1.02,1.71,-1.03
001231,农心科技,1,1,0.12,0.12,0.48,0.48
600795,国电电力,1,1,0.83,0.83,0.83,0.83
002009,天奇股份,1,0,0.97,0.14,0.99,0.14
301206,三元生物,1,0,0.22,0.01,0.90,0.02
603429,集友股份,1,-1,1.46,-4.68,1.48,-4.76
300690,双一科技,1,0,1.00,0.66,1.01,0.66
300471,厚普股份,1,1,1.54,1.54,1.63,1.63
600746,江苏索普,1,0,0.12,-0.01,0.33,-0.02
605589,圣泉集团,1,-3,1.55,-0.53,1.95,-17.95
300160,秀强股份,1,-2,0.51,-0.63,0.52,-0.63
301211,亨迪药业,1,0,0.07,-0.06,0.28,-0.24
600963,岳阳林纸,1,0,0.50,0.00,0.51,0.00
002039,黔源电力,1,-1,3.00,-1.19,3.00,-1.19
300755,华致酒行,1,-2,1.68,-1.03,1.68,-1.03
002307,北新路桥,1,0,0.87,0.61,1.01,0.71
000610,西安旅游,1,0,0.74,0.19,0.74,0.18
002546,新联电子,1,0,0.44,0.11,0.44,0.11
300239,东宝生物,1,1,1.11,1.11,1.25,1.25
002792,通宇通讯,1,0,0.58,-0.56,0.58,-0.56
300337,银邦股份,1,1,1.20,1.20,1.20,1.20
300070,碧水源,1,-1,0.42,-1.07,0.48,-1.23
000559,万向钱潮,1,0,0.19,-0.04,0.23,-0.05
002301,齐心集团,1,-1,4.77,-0.94,4.77,-0.94
300114,中航电测,1,-1,0.26,-0.92,0.26,-0.92
301023,江南奕帆,1,1,1.07,1.07,1.83,1.83
600356,恒丰纸业,1,1,0.61,0.61,0.61,0.61
605088,冠盛股份,1,0,2.07,1.46,4.46,3.15
000721,西安饮食,1,0,0.21,-0.01,0.28,-0.01
300959,线上线下,1,-1,0.50,0.20,1.07,0.42
300717,华信新材,1,1,0.46,0.46,0.46,0.46
300691,联合光电,1,1,0.82,0.82,0.97,0.97
688221,前沿生物,1,1,0.75,0.75,1.49,1.49
001219,青岛食品,1,-2,0.10,-0.31,0.42,-1.23
300106,西部牧业,1,1,0.21,0.21,0.21,0.21
301161,唯万密封,1,1,0.14,0.14,0.57,0.57
301227,森鹰窗业,1,1,0.58,0.58,2.45,2.45
301119,正强股份,1,0,0.16,0.08,0.63,0.31
301071,力量钻石,1,-6,0.72,-1.24,2.14,-5.69
300521,爱司凯,1,1,0.52,0.52,0.52,0.52
000791,甘肃电投,1,1,0.11,0.11,0.11,0.11
300683,海特生物,1,0,0.56,-0.54,0.57,-0.54
301221,光庭信息,1,-3,0.78,-1.11,3.20,-4.56
002566,益盛药业,1,0,0.44,0.12,0.44,0.12
300353,东土科技,1,1,0.82,0.82,0.82,0.82
000909,数源科技,1,0,0.37,-0.26,0.44,-0.30
300337,银邦股份,1,1,1.20,1.20,1.20,1.20
002272,川润股份,1,0,0.42,0.00,0.43,0.00
300331,苏大维格,1,0,4.97,1.37,5.07,1.40
002204,大连重工,1,1,0.18,0.18,0.18,0.18
688247,宣泰医药,1,1,0.14,0.14,1.52,1.52
301023,江南奕帆,1,1,1.07,1.07,1.83,1.83
300978,东箭科技,1,1,0.97,0.97,2.24,2.24
300572,安车检测,1,-1,0.88,-1.35,0.88,-1.35
300351,永贵电器,1,0,1.11,0.00,1.11,0.00
300332,天壕环境,1,1,0.86,0.86,0.86,0.86
300010,豆神教育,1,0,0.37,-0.13,0.37,-0.13
600796,钱江生化,1,0,0.27,0.10,0.77,0.29
002999,天禾股份,1,1,0.45,0.45,0.69,0.69
600824,益民集团,1,1,0.25,0.25,0.25,0.25
688689,银河微电,1,-1,0.39,-0.23,1.42,-0.84
002237,恒邦股份,1,0,0.81,0.07,1.02,0.09
300079,数码视讯,1,0,0.59,0.05,0.59,0.05
300284,苏交科,1,-1,0.84,-1.02,1.09,-1.33
003001,中岩大地,1,0,0.27,-0.31,0.66,-0.75
300047,天源迪科,1,0,0.31,0.00,0.31,0.00
300950,德固特,1,1,0.35,0.35,0.86,0.86
300824,北鼎股份,1,0,0.49,0.00,1.04,0.00
002205,国统股份,1,-1,0.26,-0.28,0.26,-0.28
300783,三只松鼠,1,-1,0.66,-0.50,0.66,-1.38
600740,山西焦化,1,-1,0.52,-0.43,0.52,-0.43
300611,美力科技,1,0,1.95,-0.29,1.95,-0.29
002064,华峰化学,1,-1,0.72,0.06,1.53,-0.11
300065,海兰信,1,1,0.62,0.62,0.62,0.62
002026,山东威达,1,0,0.40,-0.05,0.42,-0.05
002166,莱茵生物,1,1,1.49,1.49,1.93,1.93
301331,恩威医药,1,1,0.29,0.29,1.15,1.15
301183,东田微,1,1,0.11,0.11,0.45,0.45
603615,茶花股份,1,0,0.73,0.26,0.73,0.26
002888,惠威科技,1,1,0.45,0.45,0.45,0.45
300955,嘉亨家化,1,0,1.23,0.00,2.75,0.00
600802,福建水泥,1,0,0.29,-0.01,0.29,-0.01
000610,西安旅游,1,0,0.74,0.19,0.74,0.18
300953,震裕科技,1,1,1.85,1.85,3.78,3.78
300127,银河磁体,1,0,0.19,-0.02,0.19,-0.02
300070,碧水源,1,-1,0.42,-1.07,0.48,-1.23
300114,中航电测,1,-1,0.26,-0.92,0.26,-0.92
002328,新朋股份,1,0,0.69,0.19,0.69,0.18
002576,通达动力,1,0,0.83,0.00,0.83,0.00
002166,莱茵生物,1,1,1.49,1.49,1.93,1.93
002079,苏州固锝,1,0,0.79,0.19,0.81,0.20
300463,迈克生物,1,-1,1.01,-0.55,1.01,-0.70
300898,熊猫乳品,1,0,0.48,-0.01,1.04,0.00
301200,大族数控,1,-2,0.04,-0.28,0.39,-2.99
001216,华瓷股份,1,0,0.19,0.02,0.78,0.11
300922,天秦装备,1,0,0.51,-0.04,0.77,-0.07
300691,联合光电,1,1,0.82,0.82,0.97,0.97
002792,通宇通讯,1,0,0.58,-0.56,0.58,-0.56
300396,迪瑞医疗,1,1,0.76,0.76,0.78,0.78
300981,中红医疗,1,0,0.60,0.28,1.50,0.69
300972,万辰生物,1,1,0.31,0.31,0.64,0.64
603826,坤彩科技,1,0,1.38,-0.06,1.38,-0.06
603551,奥普家居,1,1,0.40,0.40,1.20,1.20
600483,福能股份,1,-2,0.75,-1.50,0.83,-1.69
300869,康泰医学,1,0,0.66,0.25,1.24,0.47
603321,梅轮电梯,1,0,0.62,0.19,0.62,0.19
688501,青达环保,1,-1,1.24,-1.03,1.91,-7.66
688109,品茗科技,1,-1,1.62,-0.60,3.39,-1.26
603306,华懋科技,1,1,0.84,0.84,0.84,0.84
600980,北矿科技,1,-1,0.22,-0.55,0.28,-0.60
603919,金徽酒,1,0,3.49,0.40,3.49,0.40
601566,九牧王,1,0,1.77,-0.41,1.77,-0.41
002580,圣阳股份,1,-1,0.31,-0.28,0.40,-0.37
301339,通行宝,1,1,0.03,0.03,0.22,0.22
002969,嘉美包装,1,0,0.32,0.11,0.69,0.23
300002,神州泰岳,1,0,1.19,0.12,1.19,0.12
300019,硅宝科技,1,0,0.67,-0.80,0.67,-0.81
688663,新风光,1,0,1.14,-0.38,1.85,-0.61
300319,麦捷科技,1,0,0.52,0.02,0.57,0.02
301116,益客食品,1,0,0.10,0.01,1.04,0.04
002312,川发龙蟒,1,-1,0.55,-0.77,0.77,-0.96
688111,金山办公,1,0,1.39,0.31,2.93,0.65
600523,贵航股份,1,0,0.36,0.03,0.36,0.03
300471,厚普股份,1,1,1.54,1.54,1.63,1.63
300423,昇辉科技,1,1,2.15,2.15,2.16,2.16
002544,普天科技,1,0,1.54,-0.12,1.58,-0.12
300726,宏达电子,1,-1,0.70,-0.99,0.70,-1.04
000676,智度股份,1,0,0.71,0.07,0.72,0.03
301150,中一科技,1,0,0.12,-0.03,0.58,-0.15
002125,湘潭电化,1,1,0.38,0.38,0.40,0.40
301180,万祥科技,1,0,0.92,0.83,9.21,8.30
300527,中船应急,1,0,0.33,-0.03,0.33,-0.03
300223,北京君正,1,0,3.79,0.14,3.82,0.14
301221,光庭信息,1,-3,0.78,-1.11,3.20,-4.56
002384,东山精密,1,0,1.39,-0.64,1.39,-0.64
002860,星帅尔,1,0,0.55,-0.29,0.56,-0.31
301011,华立科技,1,1,1.63,1.63,3.06,3.06
000671,阳光城,1,0,0.38,-0.25,0.38,-0.25
300353,东土科技,1,1,0.82,0.82,0.82,0.82
300131,英唐智控,1,1,0.45,0.45,0.47,0.47
300066,三川智慧,1,1,0.88,0.88,0.88,0.88
605399,晨光新材,1,-1,0.41,-0.18,1.16,-0.53
688332,中科蓝讯,1,1,0.07,0.07,0.28,0.28
000720,新能泰山,1,0,0.38,-0.24,0.38,-0.24
300585,奥联电子,1,1,0.51,0.51,0.54,0.54
300902,国安达,1,1,0.40,0.40,0.85,0.85
605151,西上海,1,-1,0.19,-0.71,0.41,-1.48
000909,数源科技,1,0,0.37,-0.26,0.44,-0.30
002961,瑞达期货,1,0,1.85,-0.13,1.85,-6.25
688737,中自科技,1,-1,0.17,-1.42,0.80,-6.48
000803,山高环能,1,-1,1.19,-0.97,1.44,-1.21
300344,立方数科,1,1,0.50,0.50,0.65,0.65
600983,惠而浦,1,1,0.18,0.18,0.18,0.18
002892,科力尔,1,1,0.45,0.45,0.45,0.45
300943,春晖智控,1,1,0.34,0.34,0.58,0.58
603848,好太太,1,1,0.37,0.37,0.37,0.37
301135,瑞德智能,1,1,0.12,0.12,0.54,0.54
301109,军信股份,1,1,0.06,0.06,0.29,0.29
600980,北矿科技,1,-1,0.22,-0.55,0.28,-0.60
688689,银河微电,1,-1,0.39,-0.23,1.42,-0.84
002999,天禾股份,1,1,0.45,0.45,0.69,0.69
603393,新天然气,1,1,0.57,0.57,0.65,0.65
600157,永泰能源,1,0,0.95,-0.19,0.95,-0.19
301206,三元生物,1,0,0.22,0.01,0.90,0.02
688306,均普智能,1,0,0.08,-0.02,0.36,-0.08
300283,温州宏丰,1,0,0.27,-0.35,0.27,-0.35
002515,金字火腿,1,1,0.45,0.45,0.45,0.45
002971,和远气体,1,-1,0.87,-1.73,1.30,-2.58
300062,中能电气,1,1,0.24,0.24,0.24,0.24
301211,亨迪药业,1,0,0.07,-0.06,0.28,-0.24
002107,沃华医药,1,1,0.21,0.21,0.21,0.21
601116,三江购物,1,1,0.27,0.27,0.27,0.27
300521,爱司凯,1,1,0.52,0.52,0.52,0.52
